,_id,_id,_id,_id,_id,_id,_id,_id,verified,verified,verified,verified,verified,verified,verified,verified,friend_nb,friend_nb,friend_nb,friend_nb,friend_nb,friend_nb,friend_nb,friend_nb,listed_nb,listed_nb,listed_nb,listed_nb,listed_nb,listed_nb,listed_nb,listed_nb,follower_nb,follower_nb,follower_nb,follower_nb,follower_nb,follower_nb,follower_nb,follower_nb,favorites_nb,favorites_nb,favorites_nb,favorites_nb,favorites_nb,favorites_nb,favorites_nb,favorites_nb,len_description,len_description,len_description,len_description,len_description,len_description,len_description,len_description,tweet_nb,tweet_nb,tweet_nb,tweet_nb,tweet_nb,tweet_nb,tweet_nb,tweet_nb,tweet_user_count,tweet_user_count,tweet_user_count,tweet_user_count,tweet_user_count,tweet_user_count,tweet_user_count,tweet_user_count,user_lifetime,user_lifetime,user_lifetime,user_lifetime,user_lifetime,user_lifetime,user_lifetime,user_lifetime,aggressivity,aggressivity,aggressivity,aggressivity,aggressivity,aggressivity,aggressivity,aggressivity,visibility,visibility,visibility,visibility,visibility,visibility,visibility,visibility,ff_ratio,ff_ratio,ff_ratio,ff_ratio,ff_ratio,ff_ratio,ff_ratio,ff_ratio,label,label,label,label,label,label,label,label
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
predicted_label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,1325058.0,2.1081652100474298e+17,3.781588145783292e+17,730.0,288269335.75,1256407920.5,4714704274.5,1.008392729930367e+18,1325058.0,-0.019710322635115744,0.8964057796912143,-0.09953170697229247,-0.09953170697229247,-0.09953170697229247,-0.09953170697229247,10.047049632921302,1325058.0,-0.04564212248706266,0.27652019464452066,-0.17806449818394807,-0.14471297297907584,-0.10911073134933495,-0.03799942290959235,21.195147893537168,1325058.0,-0.029831429236486188,0.22396818520776746,-0.061368652694449785,-0.061368652694449785,-0.05885300868826198,-0.04627478865732296,39.97007441777208,1325058.0,-0.01717218121614536,0.24400562332813924,-0.03037788814160261,-0.029576522711321114,-0.028167806639142062,-0.025266020238964855,56.276897671966765,1325058.0,-0.1117854566612383,0.6235009086640972,-0.3972719452804767,-0.37793821367834673,-0.310497074803311,-0.10584865592812388,41.84606930279041,1325058.0,-0.042455612390791035,0.980566957867501,-1.113060974090457,-0.8985081977720555,-0.33286906020536133,0.6618756299981354,3.021956169500549,1325058.0,-0.025399891858123413,0.8666745694669015,-0.15939043460265476,-0.15939043460265476,-0.15939043460265476,-0.051625872893584265,769.4951092915788,1325058.0,-0.19033957230273657,0.3697330397494846,-0.43668561513944565,-0.41300604210435365,-0.3352758065313928,-0.12865363014176864,4.244190651633671,1325058.0,0.04741860322396742,0.9896216887781705,-1.6712549606126292,-0.8103442905909745,0.1776807065479717,0.8411789746071665,15.372657733697515,1325058.0,-0.21373970025833186,0.300982626063797,-0.45097387001275746,-0.4037032746271425,-0.3229311051182705,-0.14885974733511934,10.449378233274192,1325058.0,-0.41219415582779106,0.5720036824218145,-2.0687676475794268,-0.6906645008373965,-0.35576955877926797,-0.09081659847132013,2.65241461559384,1325058.0,0.011222199912842207,1.1062303650288097,-0.2792523648009912,-0.20649270375765244,-0.15448166289901338,-0.009820031870255689,461.14180815998543,1325058.0,-0.011316485768924831,0.10581104955367693,-1.0,0.0,0.0,0.0,1.0
1,518381.0,2.706708309896744e+17,4.112124158501252e+17,418.0,356833686.0,2267714829.0,7.778816251872502e+17,1.008392769428222e+18,518381.0,0.050382480627648364,1.2241916213787891,-0.09953170697229247,-0.09953170697229247,-0.09953170697229247,-0.09953170697229247,10.047049632921302,518381.0,0.1166679711225184,1.8280496164962317,-0.17806449818394807,-0.14062076129749643,-0.09110499995038553,0.0251138118064698,320.93082939549396,518381.0,0.07625351616135614,1.8492818802339825,-0.061368652694449785,-0.061368652694449785,-0.051306076669698567,-0.0135714165768815,491.37891198411575,518381.0,0.04389461824006512,1.8442568478928534,-0.03037788814160261,-0.029230670262462784,-0.026522898650669518,-0.01911659498975211,355.94525369071897,518381.0,0.2857400514922951,1.5648810421335844,-0.3972719452804767,-0.374262081613153,-0.2491601305303563,0.25889493618336307,77.596408252453,518381.0,0.10852278313309476,1.040192990247467,-1.113060974090457,-0.8204890063835459,-0.15732587958121483,0.993457193399301,2.8854225845706574,518381.0,0.06492585551118053,1.2768326715849854,-0.15939043460265476,-0.15939043460265476,-0.15939043460265476,-0.051625872893584265,294.0378630311598,518381.0,0.486535912767481,1.6962891207157909,-0.43668561513944565,-0.3903141467766691,-0.11648050239797268,0.6980326109582093,219.57417816472957,518381.0,-0.12120891689846561,1.0160444761021212,-1.6712549606126292,-1.0587950208656802,-0.10351159283270303,0.732361406696152,2.5321847201977996,518381.0,0.546350077925125,1.7056713841629654,-0.4509735685072717,-0.34906969983614744,0.002933427215640788,0.7998072649312326,103.73822656962587,518381.0,1.0536288246152148,1.0841472856227106,-1.4818948246322503,0.43667028405858244,0.9213643565819202,1.610415929952935,13.394283249894835,518381.0,-0.0286855918178157,0.6534001265994472,-0.2792523648009912,-0.22692231277390057,-0.18348414416941958,-0.06215660592274007,44.147551423755836,518381.0,0.028926600319070336,0.16760043645770492,0.0,0.0,0.0,0.0,1.0
