,_id,_id,_id,_id,_id,_id,_id,_id,verified,verified,verified,verified,verified,verified,verified,verified,protected,protected,protected,protected,protected,protected,protected,protected,friend_nb,friend_nb,friend_nb,friend_nb,friend_nb,friend_nb,friend_nb,friend_nb,listed_nb,listed_nb,listed_nb,listed_nb,listed_nb,listed_nb,listed_nb,listed_nb,follower_nb,follower_nb,follower_nb,follower_nb,follower_nb,follower_nb,follower_nb,follower_nb,favorites_nb,favorites_nb,favorites_nb,favorites_nb,favorites_nb,favorites_nb,favorites_nb,favorites_nb,len_description,len_description,len_description,len_description,len_description,len_description,len_description,len_description,hash_avg,hash_avg,hash_avg,hash_avg,hash_avg,hash_avg,hash_avg,hash_avg,mention_avg,mention_avg,mention_avg,mention_avg,mention_avg,mention_avg,mention_avg,mention_avg,url_avg,url_avg,url_avg,url_avg,url_avg,url_avg,url_avg,url_avg,symbols_avg,symbols_avg,symbols_avg,symbols_avg,symbols_avg,symbols_avg,symbols_avg,symbols_avg,tweet_nb,tweet_nb,tweet_nb,tweet_nb,tweet_nb,tweet_nb,tweet_nb,tweet_nb,tweet_user_count,tweet_user_count,tweet_user_count,tweet_user_count,tweet_user_count,tweet_user_count,tweet_user_count,tweet_user_count,user_lifetime,user_lifetime,user_lifetime,user_lifetime,user_lifetime,user_lifetime,user_lifetime,user_lifetime,tweet_frequency,tweet_frequency,tweet_frequency,tweet_frequency,tweet_frequency,tweet_frequency,tweet_frequency,tweet_frequency,friend_frequency,friend_frequency,friend_frequency,friend_frequency,friend_frequency,friend_frequency,friend_frequency,friend_frequency,aggressivity,aggressivity,aggressivity,aggressivity,aggressivity,aggressivity,aggressivity,aggressivity,visibility,visibility,visibility,visibility,visibility,visibility,visibility,visibility,ff_ratio,ff_ratio,ff_ratio,ff_ratio,ff_ratio,ff_ratio,ff_ratio,ff_ratio,cluster_kmeans,cluster_kmeans,cluster_kmeans,cluster_kmeans,cluster_kmeans,cluster_kmeans,cluster_kmeans,cluster_kmeans
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
cluster_hierarchical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12930.0,2.5137341706895677e+17,4.018216648744421e+17,803156.0,375486360.25,2165770343.5,7.479276118363423e+17,1.0083814312638505e+18,12930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12930.0,0.0004073355035068758,0.001718979713957296,0.0,9.366839857624034e-05,0.00019179719708468262,0.00038168279419842154,0.1182133422031572,12930.0,3.963278489857472e-05,0.000203488443570782,0.0,0.0,5.118921067943439e-06,2.5594605339717198e-05,0.011681377877046928,12930.0,2.2842942481989255e-05,0.00024605121352022825,0.0,1.836489424004958e-06,5.710889692712192e-06,1.3104240664190216e-05,0.022937942478923758,12930.0,0.004431282378059701,0.0099135988915748,0.0,0.00023566858595938938,0.001128299723889521,0.004218758637544624,0.19149381879122382,12930.0,0.1324198514497512,0.12276608776438169,0.0,0.0047169811320754715,0.10849056603773584,0.21698113207547168,0.49056603773584906,12930.0,0.06078578785839005,0.05701615347249756,0.0,0.026666666666666665,0.04,0.08,0.56,12930.0,0.0793577128621904,0.053774431795331895,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.75,12930.0,0.047795059750097804,0.08056239248181397,0.0,0.0,0.0,0.07272727272727274,0.6000000000000001,12930.0,6.552376041935207e-05,0.0018346602454126781,0.0,0.0,0.0,0.0,0.05555555555555555,12930.0,0.0001623350254466731,0.0006365714921783151,0.0,0.0,0.0,0.00014001680201624196,0.0287034444133296,12930.0,0.0017209836633847475,0.003776684542893625,0.0,9.416144074411556e-05,0.00048158133758402835,0.001753237767514168,0.08931712080576155,12930.0,0.09189033143255261,0.05733017883787549,0.0,0.040623764054466355,0.09542912028928188,0.13921690490988192,0.23312051528334937,12930.0,0.0036551510892256704,0.009569225013201052,6.751179522036614e-08,0.00031801158930691033,0.0011986100436626407,0.003693749264320094,0.45897439677879276,12930.0,0.0003765265978616675,0.0015603689941393905,0.0,5.33274861704589e-05,0.00010961225358914898,0.0002486220247649405,0.06614773099455448,12930.0,0.0039414652077075195,0.00997445616086541,3.499150633577262e-07,0.0004581932618284843,0.0014240862503534584,0.004041542238421719,0.4782427997796979,12930.0,0.10431122989400284,0.057583893498480726,0.0,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.576923076923077,12930.0,0.0006663343919552242,0.0015855640900161768,0.0,0.00015292197203923711,0.0002648729118589603,0.0006069460286183747,0.04427968283389971,12930.0,0.5822892498066512,0.9085726353759614,0.0,0.0,0.0,2.0,2.0
2,162.0,2.3470153784706748e+16,1.3248207012407589e+17,2566991.0,42242019.5,189169089.5,517944278.5,8.890565069640417e+17,162.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.001266489925487765,0.003129420386575593,0.0,0.0002558357961112959,0.0005760287912443625,0.0010180862845250885,0.03197359489581954,162.0,0.0035191730731293424,0.007001225582181985,0.0,0.0005380255459306868,0.0010340220557245748,0.002510830783826257,0.038662620181438186,162.0,0.005301040693535522,0.017121121170865918,1.540281452391255e-05,0.000149780522926185,0.0005471113571233351,0.0018506540892075252,0.1398781601036314,162.0,0.004851993664078499,0.009039083096497012,0.0,0.0006450336482369954,0.0017313397516654399,0.004397728562159772,0.06351297486492699,162.0,0.5223037502911717,0.19557524589602143,0.04716981132075471,0.39740566037735847,0.5636792452830188,0.6875,0.7547169811320754,162.0,0.054568537275207336,0.04571838468137283,0.0,0.04,0.04,0.08,0.26,162.0,0.06914579030558139,0.06985925153548779,0.0,0.0,0.08333333333333333,0.08333333333333333,0.41666666666666663,162.0,0.09026529798891864,0.09513599762929867,0.0,0.0,0.06666666666666667,0.2,0.4,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.00045289385343525183,0.001965851658972076,0.0,0.0,0.0,0.0002800336040324839,0.02338280593671241,162.0,0.004383791529909398,0.008728263277333129,1.9303656505349078e-05,0.000840494671910228,0.0018694805711503037,0.00411608388516165,0.07533218282044153,162.0,0.15349092053048963,0.041634764954875884,0.018588620826035372,0.12948471665065825,0.16029154189502232,0.18705859088084076,0.2316515057347873,162.0,0.0049871578634900875,0.008811798939441555,1.8965849208393935e-05,0.001164734058725911,0.0021993156021997166,0.004760280987108168,0.07477236353961833,162.0,0.00035628970244701015,0.0007824877689344573,0.0,7.407708750356626e-05,0.0001508903678297522,0.00031408807642952646,0.007651112128722559,162.0,0.005258082198822922,0.008834753683007181,0.00013365576441303715,0.0012681639190844352,0.0025171454015528037,0.005304295381261062,0.07477277739108891,162.0,0.10174190021122127,0.0490662048749546,0.038461538461538464,0.07692307692307693,0.08882783882783885,0.11675824175824177,0.2884615384615385,162.0,3.653938290211914e-05,6.65904020284724e-05,0.0,1.7293264581206219e-06,9.60233693391511e-06,3.891337821841472e-05,0.000434549567187101,162.0,1.1790123456790123,0.5095890560616638,0.0,1.0,1.0,1.0,2.0
3,5342.0,1.826600867386779e+17,3.56944280176677e+17,1014821.0,193060708.25,708722988.0,3386892388.5,1.0083767741017334e+18,5342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5342.0,0.0007843446143504909,0.0023697548886870913,0.0,0.00015468029764885947,0.0003358043948957732,0.0007312159525218812,0.06572016980105343,5342.0,0.00017099309429022706,0.0007973969035730334,0.0,5.118921067943439e-06,3.0713526407660635e-05,0.00010237842135886879,0.029858666589314083,5342.0,6.0012944276526316e-05,0.00035817773518939086,0.0,4.5260578062573805e-06,1.1215618637181247e-05,2.992292929241627e-05,0.01367573247630283,5342.0,0.006314150930621183,0.015678602860900285,0.0,0.0003277539038064841,0.0014431064029118163,0.005314617562255785,0.30957483641399697,5342.0,0.589172311974174,0.12512777791191834,0.2783018867924528,0.49056603773584906,0.6037735849056604,0.7063679245283019,0.8632075471698113,5342.0,0.057559089587037926,0.0542591465238823,0.0,0.02,0.04,0.08,0.72,5342.0,0.064892110112801,0.05577934108420596,0.0,0.0,0.08333333333333333,0.08333333333333333,0.6666666666666666,5342.0,0.0735252438098325,0.09148259043516911,0.0,0.0,0.0,0.2,0.6000000000000001,5342.0,5.7198718748700026e-05,0.002046046682159104,0.0,0.0,0.0,0.0,0.1111111111111111,5342.0,0.00025322020297246606,0.000942359265632769,0.0,0.0,0.0,0.00014001680201624196,0.03346401568188183,5342.0,0.0024691678720416255,0.004962042069053073,0.0,0.00022973595852586953,0.0008192269805860207,0.00254752150590069,0.11791144761823741,5342.0,0.11061522807797916,0.0595120886743896,0.0,0.05898638341149218,0.12181479179614668,0.15972653822249847,0.2324990112435731,5342.0,0.004654082812252476,0.010012756130993073,6.663016133530928e-07,0.0005387302515419704,0.0015612525893087647,0.004619058871351422,0.20743706995911185,5342.0,0.0005674029428696201,0.0021219438360248937,0.0,7.051645307344084e-05,0.00014959304510239784,0.00035741514451259095,0.06490137368631017,5342.0,0.005085553567907557,0.010763302357034661,1.0238436982269218e-06,0.0007059107527875371,0.0018427417147581073,0.005087795200800526,0.24213148465946546,5342.0,0.09947455219293073,0.05512462892758925,0.038461538461538464,0.07063609467455623,0.07692307692307693,0.11538461538461539,0.7307692307692308,5342.0,0.0004101859260498832,0.0006419843246835051,0.0,0.00013605221283438548,0.00022887308422893385,0.0004520489880933129,0.013592832869941304,5342.0,1.2420441782104081,0.42836099630082264,1.0,1.0,1.0,1.0,2.0
